SAN RAFAEL,94903,38.0270044,-122.5485873,3305
GREENBRAE,94904,37.941063,-122.5655549,3974
BELVEDERE TIBURON,94920,37.8839827,-122.4580469,5419
CORTE MADERA,94925,37.920558,-122.5089856,4598
FAIRFAX,94930,37.9873145,-122.5891656,3412
FOREST KNOLLS,94933,38.0008669,-122.6786008,3420
LAGUNITAS,94938,38.0152314,-122.7237843,3766
LARKSPUR,94939,37.938818,-122.5344456,3981
MILL VALLEY,94941,37.9060624,-122.5712101,4318
NOVATO,94945,38.1218145,-122.5485873,3364
NICASIO,94946,38.0607149,-122.6842498,4842
NOVATO,94947,38.1245731,-122.6616518,3181
NOVATO,94949,38.0599857,-122.503327,3062
PETALUMA,94954,38.2473117,-122.5712101,2759
SAN ANSELMO,94960,37.9885355,-122.5655549,3282
SAN GERONIMO,94963,38.0046478,-122.6588267,3808
SAN QUENTIN,94964,37.94018,-122.4877642,4119
SAUSALITO,94965,37.8444843,-122.5089856,4119
STINSON BEACH,94970,37.9105306,-122.6333973,3871
WOODACRE,94973,38.0051761,-122.6418745,3639
ALVISO,95002,37.4268706,-121.9721944,2941
MILPITAS,95035,37.4323716,-121.8993526,3174
SAN JOSE,95134,37.4308503,-121.9529992,3187
MOUNT HAMILTON,95140,37.385095,-121.6397184,3188
SONOMA,95476,38.2315738,-122.4693688,2793
DIXON,95620,38.3897438,-121.7651362,2163
